	;	Shine NPC table(ShineNPC.txt)																
	#recordin	ShineNPC	RouDiggerDolTurn	EldPri02	5324	3166	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerDolTurn	GoldCave	4443	18582	-26	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerDolTurn	GoldCave	2092	2771	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerDolTurn	GoldCave	23474	23454	139	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouDiggerDolTurn	GoldCave	18314	5115	-166	1	QuestNpc	Quest								
;	?? ??? ?? 																	
;	??																	
	#recordin	ShineNPC	MapLinkGate	RouN	6473	10507	11	0	Gate	GateRou1								
	#recordin	LinkTable								GateRou1	RouCos02	RouCos02	17418	13832	80	1	120	1
	#recordin	LinkTable								GateRou1	RouCos02_1	RouCos02_1	17418	13832	80	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouN	10662	8057	64	0	Gate	GateRou2								
;	#recordin	LinkTable								GateRou2	RouVal01	RouVal01	12281	2956	-160	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouN	7279	5251	171	0	Gate	GateRou3								
	#recordin	LinkTable								GateRou3	RouCos03	RouCos03	7015	15990	-122	1	120	1
;	#recordin	ShineNPC	MapLinkGate01	RouN	4021	2879	-56	0	Gate	GateRou4								
;	#recordin	LinkTable								GateRou4	IDGate01	IDGate01	389	1370	0	1	120	1
;	????																	
;	#recordin	ShineNPC	MapLinkGate	RouCos01	8989	13667	17	0	Gate	GateRouCos011								
;	#recordin	LinkTable								GateRouCos011	RouN	RouN	7061	9951	102	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouCos01	16476	11039	-27	0	Gate	GateRouCos012								
;	#recordin	LinkTable								GateRouCos012	RouCos02	RouCos02	8423	10635	0	1	120	1
;	#recordin	LinkTable								GateRouCos012	RouCos02_1	RouCos02_1	8423	10635	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouCos01	12573	13415	-95	0	Gate	GateRouCos013								
;	#recordin	LinkTable								GateRouCos013	EchoCave	EchoCave	23518	23695	51	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouCos01	8642	19715	-18	0	Gate	GateRouCos014								
;	#recordin	LinkTable								GateRouCos014	RouCos03	RouCos03	4219	5270	-59	1	120	1
;	???																	
	#recordin	ShineNPC	MapLinkGate	RouCos02	17607	13887	76	0	Gate	GateRouCos021								
	#recordin	LinkTable								GateRouCos021	RouN	RouN	6471	10416	12	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos02	17656	4538	163	0	Gate	GateRouCos022								
	#recordin	LinkTable								GateRouCos022	RouVal01	RouVal01	12895	2924	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos02	21193	16521	93	0	Gate	GateRouCos023								
	#recordin	LinkTable								GateRouCos023	EchoCave	EchoCave	1999	2494	-43	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos02	11112	17601	-90	0	Gate	GateRouCos024								
	#recordin	LinkTable								GateRouCos024	RouCos03	RouCos03	4219	5270	-59	1	120	1
;	#recordin	ShineNPC	MapLinkGate01	RouCos02	8181	6787	-23	0	Gate	GateRouCos025								
;	#recordin	LinkTable								GateRouCos025	IDGate01	IDGate01	389	1370	0	1	120	1
;	???A																	
	#recordin	ShineNPC	MapLinkGate	RouCos02_1	17607	13887	76	0	Gate	GateRouCos121								
	#recordin	LinkTable								GateRouCos121	RouN	RouN	6471	10416	12	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos02_1	17656	4538	163	0	Gate	GateRouCos122								
	#recordin	LinkTable								GateRouCos122	RouVal01	RouVal01	12895	2924	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos02_1	21193	16521	93	0	Gate	GateRouCos123								
	#recordin	LinkTable								GateRouCos123	EchoCave	EchoCave	1999	2494	-43	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos02_1	11112	17601	-90	0	Gate	GateRouCos124								
	#recordin	LinkTable								GateRouCos124	RouCos03	RouCos03	4219	5270	-59	1	120	1
	#recordin	ShineNPC	Gate_KingSlime	RouCos02_1	19765	19922	22	0	IDGate	SlimeGate10								
	#recordin	LinkTable								SlimeGate10	KDEddyHill	KDEddyHill	1740	11070	0	20	120	0
;	#recordin	ShineNPC	MapLinkGate01	RouCos02_1	8181	6787	-23	0	Gate	GateRouCos125								
;	#recordin	LinkTable								GateRouCos125	IDGate01	IDGate01	389	1370	0	1	120	1
;	??? ???																	
	#recordin	ShineNPC	MapLinkGate	RouVal01	21261	16653	23	0	Gate	GateRouVal011								
	#recordin	LinkTable								GateRouVal011	EchoCave	EchoCave	18789	5248	-67	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouVal01	12906	2839	0	0	Gate	GateRouVal012								
	#recordin	LinkTable								GateRouVal012	RouCos02	RouCos02	17589	4749	-16	1	120	1
	#recordin	LinkTable								GateRouVal012	RouCos02_1	RouCos02_1	17589	4749	-16	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouVal01	16204	21324	6	0	Gate	GateRouVal013								
	#recordin	LinkTable								GateRouVal013	Eld	Eld	16602	9094	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouVal01	12601	11895	0	0	Gate	GateRouVal014								
	#recordin	LinkTable								GateRouVal014	RouTemDn01	RouTemDn01	6252	1156	-178	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouVal01	12229	2770	-156	0	Gate	GateRouVal015								
;	#recordin	LinkTable								GateRouVal015	RouN	RouN	10346	7922	67	1	120	1
	#recordin	ShineNPC	T_Gate01	RouVal01	4370	8180	-134	0	IDGate	GateRouVal016								
	#recordin	LinkTable								GateRouVal016	Tower01	Tower01	1182	7218	0	40	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	RouCos03	19984	7196	-79	0	Gate	GateRouCos031								
	#recordin	LinkTable								GateRouCos031	Eld	Eld	18397	13376	87	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouCos03	4301	5192	-59	0	Gate	GateRouCos032								
;	#recordin	LinkTable								GateRouCos032	RouVal02	RouVal02	5669	2000	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos03	6944	15906	-118	0	Gate	GateRouCos033								
	#recordin	LinkTable								GateRouCos033	RouN	RouN	7237	5412	-173	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos03	7312	6863	58	0	Gate	GateRouCos034								
	#recordin	LinkTable								GateRouCos034	EchoCave	EchoCave	9517	22300	-32	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouCos03	4142	5311	-59	0	Gate	GateRouCos035								
	#recordin	LinkTable								GateRouCos035	RouCos02	RouCos02	11486	17600	-90	1	120	1
	#recordin	LinkTable								GateRouCos035	RouCos02_1	RouCos02_1	11486	17600	-90	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouCos03	19909	7325	-85	0	Gate	GateRouCos036								
;	#recordin	LinkTable								GateRouCos036	EldGbl02	EldGbl02	9715	5963	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouCos03	9860	3157	167	0	Gate	GateRouCos037								
;	#recordin	LinkTable								GateRouCos037	RouVal01	RouVal01	6366	3444	0	1	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	RouVal02	4726	11298	0	0	Gate	GateRouVal021								
	#recordin	LinkTable								GateRouVal021	Eld	Eld	13207	9130	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouVal02	5592	1769	0	0	Gate	GateRouVal022								
	#recordin	LinkTable								GateRouVal022	EldGbl02	EldGbl02	10576	6603	-74	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouVal02	8107	9245	0	0	Gate	GateRouVal023								
	#recordin	LinkTable								GateRouVal023	ValDn01	ValDn01	1159	11349	-179	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouVal02	4415	3233	22	0	Gate	GateRouVal024								
;	#recordin	LinkTable								GateRouVal024	EldGbl02	EldGbl02	6486	11164	-179	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouVal02	5669	1950	0	0	Gate	GateRouVal025								
;	#recordin	LinkTable								GateRouVal025	RouCos03	RouCos03	4351	5192	-59	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouVal02	2472	3425	60	0	Gate	GateRouVal026								
;	#recordin	LinkTable								GateRouVal026	ValDn01	ValDn01	1159	11349	-179	1	120	1
;	#recordin	ShineNPC	MapLinkGate	RouVal02	4415	3233	22	0	Gate	GateRouVal027								
;	#recordin	LinkTable								GateRouVal027	EldGbl02	EldGbl02	6486	11164	-179	1	120	1
;	??? ? 1?																	
	#recordin	ShineNPC	MapLinkGate	RouTemDn01	6260	732	179	0	Gate	GateRouTemDn011								
	#recordin	LinkTable								GateRouTemDn011	RouVal01	RouVal01	12595	11761	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	RouTemDn01	8999	4936	0	0	Gate	GateRouTemDn012								
	#recordin	LinkTable								GateRouTemDn012	RouTemDn02	RouTemDn02	5203	828	0	1	120	1
;	#recordin	ShineNPC	EldSpeGuard03	RouTemDn01	5446	6642	0	0	Gate	GateRouTemDn013								
;	#recordin	LinkTable								GateRouTemDn013	ElfDn02	ElfDn02	5230	3846	0	10	120	0
;	#recordin	ShineNPC	EldSpeGuard03	RouTemDn01	1146	4319	0	0	Gate	GateRouTemDn014								
;	#recordin	LinkTable								GateRouTemDn014	PriDn02	PriDn02	5154	5059	0	10	120	0
;	??? ? 2?																	
	#recordin	ShineNPC	MapLinkGate	RouTemDn02	5206	483	0	0	Gate	GateRouTemDn021								
	#recordin	LinkTable								GateRouTemDn021	RouTemDn01	RouTemDn01	8961	5389	0	1	120	1
;	#recordin	ShineNPC	EldSpeGuard03	RouTemDn02	5211	8555	180	0	Gate	GateRouTemDn022								
;	#recordin	LinkTable								GateRouTemDn022	CemDn02	CemDn02	9791	6907	0	10	120	1
;	??? 																	
	#recordin	ShineNPC	MapLinkGate	Eld	16606	8872	0	0	Gate	GateEld1								
	#recordin	LinkTable								GateEld1	RouVal01	RouVal01	16211	21207	6	1	120	1
	#recordin	ShineNPC	MapLinkGate	Eld	13206	8920	0	0	Gate	GateEld2								
	#recordin	LinkTable								GateEld2	RouVal02	RouVal02	4742	11232	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	Eld	18550	13388	87	0	Gate	GateEld3								
	#recordin	LinkTable								GateEld3	RouCos03	RouCos03	19933	7196	-79	1	120	1
	#recordin	ShineNPC	MapLinkGate	Eld	13552	16867	0	0	Gate	GateEld4								
	#recordin	LinkTable								GateEld4	Linkfield01	Linkfield01	3188	3000	34	1	120	1
	#recordin	ShineNPC	EldSpeGuard03	Eld	17684	11564	94	0	Gate	GateEld5								
	#recordin	LinkTable								GateEld5	BFGate01	BFGate01	1589	301	0	1	120	1
;	ox ??? ???																	
	#recordin	ShineNPC	OX_GateSpeGuard	RouN	6607	6160	87	0	Gate	GateEld6								
	#recordin	LinkTable								GateEld6	OX_field	OX_field	6467	4771	0	1	120	1
;	pvp ??? ? ??																	
;	#recordin	ShineNPC	EldSpeGuard03	Eld	17505	13370	89	0	Gate	GateEld5								
;	#recordin	LinkTable								GateEld5	ElfDn02	ElfDn02	5230	3846	0	10	120	1
;	????																	
;	#recordin	ShineNPC	MapLinkGate	EldCem01	11509	11829	12	0	Gate	GateEldCem011								
;	#recordin	LinkTable								GateEldCem011	RouVal02	RouVal02	9377	2475	-48	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldCem01	12093	1011	-62	0	Gate	GateEldCem012								
	#recordin	LinkTable								GateEldCem012	EldCem02	EldCem02	11888	11887	13	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldCem01	1479	11727	-120	0	Gate	GateEldCem013								
	#recordin	LinkTable								GateEldCem013	Urg	Urg	1186	9079	97	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldCem01	11359	11809	-7	0	Gate	GateEldCem014								
	#recordin	LinkTable								GateEldCem014	WindyCave	WindyCave	18720	5348	-44	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldCem01	801	8615	-14	0	Gate	GateEldCem015								
	#recordin	LinkTable								GateEldCem015	CemDn01	CemDn01	8029	1765	33	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldCem01	4019	668	0	0	Gate	GateEldCem016								
;	#recordin	LinkTable								GateEldCem016	EldGbl02	EldGbl02	5441	4534	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldCem01	982	12298	-58	0	Gate	GateEldCem017								
;	#recordin	LinkTable								GateEldCem017	Linkfield01	Linkfield01	3823	3087	0	1	120	1
;	????																	
	#recordin	ShineNPC	MapLinkGate	EldCem02	982	5579	-34	0	Gate	GateEldCem021								
	#recordin	LinkTable								GateEldCem021	WindyCave	WindyCave	23554	23733	44	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldCem02	11912	12067	10	0	Gate	GateEldCem022								
	#recordin	LinkTable								GateEldCem022	EldCem01	EldCem01	12010	1037	-62	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldCem02	4474	11896	0	0	Gate	GateEldCem023								
;	#recordin	LinkTable								GateEldCem023	CemDn02	CemDn02	5678	15617	0	10	120	1
	#recordin	ShineNPC	MapLinkGate	EldCem02	598	676	-59	0	Gate	GateEldCem024								
	#recordin	LinkTable								GateEldCem024	Linkfield01	Linkfield01	9792	11260	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldCem02	2358	11980	0	0	Gate	GateEldCem025								
;	#recordin	LinkTable								GateEldCem025	Croad01	Croad01	3341	2592	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldCem02	1089	9061	-90	0	Gate	GateEldCem026								
;	#recordin	LinkTable								GateEldCem026	EldPri01	EldPri01	2316	2097	0	1	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	EldGbl01	6784	7597	60	0	Gate	GateEldGbl011								
	#recordin	LinkTable								GateEldGbl011	EldGbl02	EldGbl02	10646	2103	-34	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldGbl01	4464	952	0	0	Gate	GateEldGbl012								
	#recordin	LinkTable								GateEldGbl012	Urg	Urg	1413	11864	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldGbl01	11617	5800	64	0	Gate	GateEldGbl013								
	#recordin	LinkTable								GateEldGbl013	WindyCave	WindyCave	4637	18693	-8	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldGbl01	701	6937	88	0	Gate	GateEldGbl014								
	#recordin	LinkTable								GateEldGbl014	GblDn01	GblDn01	5091	548	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldGbl01	4334	1092	-140	0	Gate	GateEldGbl015								
;	#recordin	LinkTable								GateEldGbl015	GblDn02	GblDn02	5081	6146	0	10	120	1
;	#recordin	ShineNPC	MapLinkGate	EldGbl01	5204	11895	0	0	Gate	GateEldGbl016								
;	#recordin	LinkTable								GateEldGbl016	Croad01	Croad01	10571	10502	152	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldGbl01	11695	11770	23	0	Gate	GateEldGbl017								
	#recordin	LinkTable								GateEldGbl017	EldGbl01D	EldGbl01D	7265	1050	0	1	120	1
;	??? ?? ?																	
	#recordin	ShineNPC	MapLinkGate	EldPri01	12160	4605	88	0	Gate	EldPri011								
	#recordin	LinkTable								EldPri011	GoldCave	GoldCave	23491	23658	41	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldPri01	9445	10071	42	0	Gate	EldPri012								
	#recordin	LinkTable								EldPri012	EldPriDn01	EldPriDn01	3123	8953	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPri01	2662	1415	-23	0	Gate	EldPri013								
;	#recordin	LinkTable								EldPri013	EldGbl01	EldGbl01	6157	7131	-131	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPri01	1078	11129	-10	0	Gate	EldPri014								
;	#recordin	LinkTable								EldPri014	Urg	Urg	1807	11270	-57	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPri01	5504	1259	93	0	Gate	EldPri015								
;	#recordin	LinkTable								EldPri015	PriDn01	PriDn01	12208	4514	-90	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldPri01	1066	11225	0	0	Gate	EldPri016								
	#recordin	LinkTable								EldPri016	EldPri02	EldPri02	9645	2737	-15	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldPri01	2615	1446	-4	0	Gate	EldPri017								
	#recordin	LinkTable								EldPri017	Linkfield02	Linkfield02	4426	10968	28	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPri01	2266	2047	39	0	Gate	EldPri018								
;	#recordin	LinkTable								EldPri018	EldCem02	EldCem02	1139	9061	-39	1	120	1
;	??? ?? 1?																	
	#recordin	ShineNPC	MapLinkGate	EldPriDn01	3125	9015	0	0	Gate	GateEldPriDn011								
	#recordin	LinkTable								GateEldPriDn011	EldPri01	EldPri01	9500	10122	42	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPriDn01	12506	8000	0	0	Gate	GateEldPriDn012								
;	#recordin	LinkTable								GateEldPriDn012	EldPriDn02	EldPriDn02	370	5055	87	1	120	1
;	??? ??2?																	
	#recordin	ShineNPC	MapLinkGate	EldPriDn02	206	5062	92	0	Gate	GateEldPriDn021								
	#recordin	LinkTable								GateEldPriDn021	EldPriDn01	EldPriDn01	12516	7884	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldPriDn02				0	Gate	GateEldPriDn022								
;	#recordin	LinkTable								GateEldPriDn022	?????	?????				1	120	1
;	????																	
;	#recordin	ShineNPC	MapLinkGate	UrgFireDn01	2447	11386	-84	0	Gate	UrgFireDn001								
;	#recordin	LinkTable								UrgFireDn001	UrgFire01	UrgFire01	2228	3297	-134	1	120	1
;	??? ??																	
;	#recordin	ShineNPC	MapLinkGate	UrgSwaDn01	5666	6808	0	0	Gate	UrgFireDn001								
;	#recordin	LinkTable								UrgFireDn001	EldPri01	EldPri01	9935	10604	-134	1	120	1
;	??? 																	
	#recordin	ShineNPC	MapLinkGate	Urg	1349	11933	-41	0	Gate	Urg01								
	#recordin	LinkTable								Urg01	EldGbl01	EldGbl01	4451	1029	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg	1175	2343	-129	0	Gate	Urg02								
;	#recordin	LinkTable								Urg02	GoldCave	GoldCave	2182	2703	-133	40	120	1
	#recordin	ShineNPC	MapLinkGate	Urg	1067	9069	97	0	Gate	Urg03								
	#recordin	LinkTable								Urg03	EldCem01	EldCem01	1595	11844	-111	1	120	1
	#recordin	ShineNPC	MapLinkGate	Urg	7809	11139	-56	0	Gate	Urg04								
	#recordin	LinkTable								Urg04	ElfDn01	ElfDn01	2660	6901	-89	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg	1528	9368	-49	0	Gate	Urg05								
;	#recordin	LinkTable								Urg05	EldPri02	EldPri02	9942	2893	-13	1	120	1
	#recordin	ShineNPC	EldSpeGuard03	Urg	8450	6765	78	0	Gate	Urg06								
	#recordin	LinkTable								Urg06	BFGate02	BFGate02	1589	301	0	1	120	1
	#recordin	ShineNPC	MapLinkGate	Urg	10278	12208	-74	0	Gate	Urg07								
	#recordin	LinkTable								Urg07	Linkfield02	Linkfield02	2155	6372	-62	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg	5617	976	0	0	Gate	Urg08								
;	#recordin	LinkTable								Urg08	Croad01	Croad01	3210	10105	48	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg	2004	4962	-90	0	Gate	Urg09								
;	#recordin	LinkTable								Urg09	EldSleep01	EldSleep01	11620	17868	48	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Urg	7861	11135	-60	0	Gate	Urg10								
;	#recordin	LinkTable								Urg10	UrgFire01	UrgFire01	15373	1851	48	1	120	1
	#recordin	ShineNPC	MapLinkGate	Urg	11962	2665	-77	0	Gate	Urg11								
	#recordin	LinkTable								Urg11	UrgD	UrgD	18096	10784	94	1	120	1
;	???? ?																	
	#recordin	ShineNPC	C_Gate01	Urg	9705	758	225	0	IDGate	Urg12								
	#recordin	LinkTable								Urg12	Tower02	Tower02	1182	7218	0	60	120	1
;	??? ???																	
;	#recordin	ShineNPC	Gate_Lab	Croad01	3260	7450	93	0	IDGate	LabGate00								
;	#recordin	LinkTable								LabGate00	Tower03	Tower03	8765	11255	0	100	120	1
;	?? ?																	
	#recordin	ShineNPC	MapLinkGate	EldFor01	7446	19991	-10	0	Gate	EldFor011								
	#recordin	LinkTable								EldFor011	Linkfield02	Linkfield02	1936	9287	-106	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldFor01	16000	16610	30	0	Gate	EldFor012								
	#recordin	LinkTable								EldFor012	EldSleep01	EldSleep01	8432	8777	56	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldFor01	10585	14091	-11	0	Gate	EldFor013								
	#recordin	LinkTable								EldFor013	ForDn01	ForDn01	5825	6128	-90	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldFor01	11181	7114	173	0	Gate	EldFor014								
	#recordin	LinkTable								EldFor014	GoldCave	GoldCave	2006	2492	41	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldFor01	7277	6650	0	0	Gate	EldFor015								
;	#recordin	LinkTable								EldFor015	UrgFire01	UrgFire01	10908	23620	0	1	120	1
;	??? ?																	
	#recordin	ShineNPC	MapLinkGate	EldSleep01	8375	8753	56	0	Gate	EldSleep011								
	#recordin	LinkTable								EldSleep011	EldFor01	EldFor01	15965	16540	30	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldSleep01	17577	7119	83	0	Gate	EldSleep012								
;	#recordin	LinkTable								EldSleep012	Urg_Alruin	Urg_Alruin	4026	19591	-8	1	120	1
	#recordin	ShineNPC	MapLinkGate	EldSleep01	11661	18884	29	0	Gate	EldSleep013								
	#recordin	LinkTable								EldSleep013	GoldCave	GoldCave	4708	18646	-21	1	120	1
;	#recordin	ShineNPC	MapLinkGate	EldSleep01	15167	7025	105	0	Gate	EldSleep014								
;	#recordin	LinkTable								EldSleep014	R_Helga01	R_Helga01	3279	1201	0	1	120	1
;	????																	
;	#recordin	ShineNPC	MapLinkGate	EchoCave	23616	23780	51	0	Gate	EchoCave1								
;	#recordin	LinkTable								EchoCave1	RouCos01	RouCos01	12628	13423	93	1	120	1
	#recordin	ShineNPC	MapLinkGate	EchoCave	1929	2403	-140	0	Gate	EchoCave2								
	#recordin	LinkTable								EchoCave2	RouCos02	RouCos02	21076	16533	93	1	120	1
	#recordin	LinkTable								EchoCave2	RouCos02_1	RouCos02_1	21076	16533	-90	1	120	1
	#recordin	ShineNPC	MapLinkGate	EchoCave	9577	22354	32	0	Gate	EchoCave3								
	#recordin	LinkTable								EchoCave3	RouCos03	RouCos03	7257	6786	58	1	120	1
	#recordin	ShineNPC	MapLinkGate	EchoCave	18867	5190	111	0	Gate	EchoCave4								
	#recordin	LinkTable								EchoCave4	RouVal01	RouVal01	21186	16514	23	1	120	1
;	????2																	
	#recordin	ShineNPC	MapLinkGate	WindyCave	18918	5295	130	0	Gate	WindyCave1								
	#recordin	LinkTable								WindyCave1	EldCem01	EldCem01	11373	11701	-7	1	120	1
	#recordin	ShineNPC	MapLinkGate	WindyCave	4637	18811	-8	0	Gate	WindyCave2								
	#recordin	LinkTable								WindyCave2	EldGbl01	EldGbl01	11568	5773	64	1	120	1
	#recordin	ShineNPC	MapLinkGate	WindyCave	23619	23792	44	0	Gate	WindyCave3								
	#recordin	LinkTable								WindyCave3	EldCem02	EldCem02	1057	5534	-30	1	120	1
	#recordin	ShineNPC	MapLinkGate	WindyCave	2002	2483	-138	0	Gate	WindyCave4								
	#recordin	LinkTable								WindyCave4	EldGbl02	EldGbl02	1952	7929	-55	1	120	1
;	????3																	
	#recordin	ShineNPC	MapLinkGate	GoldCave	4651	18775	-21	0	Gate	GoldCave1								
	#recordin	LinkTable								GoldCave1	EldSleep01	EldSleep01	11612	18884	29	1	120	1
	#recordin	ShineNPC	MapLinkGate	GoldCave	1931	2412	-135	0	Gate	GoldCave2								
	#recordin	LinkTable								GoldCave2	EldFor01	EldFor01	11118	7223	167	1	120	1
	#recordin	ShineNPC	MapLinkGate	GoldCave	23576	23753	41	0	Gate	GoldCave3								
	#recordin	LinkTable								GoldCave3	EldPri01	EldPri01	12094	4605	-94	1	120	1
	#recordin	ShineNPC	MapLinkGate	GoldCave	18675	5053	143	0	Gate	GoldCave4								
	#recordin	LinkTable								GoldCave4	EldPri02	EldPri02	5751	2948	0	1	120	1
;	??? ???																	
	#recordin	ShineNPC	MapLinkGate	GblDn01	5086	458	0	0	Gate	GblDn011								
	#recordin	LinkTable								GblDn011	EldGbl01	EldGbl01	758	6938	88	1	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	CemDn01	7892	1520	33	0	Gate	CemDn011								
	#recordin	LinkTable								CemDn011	EldCem01	EldCem01	827	8550	-14	1	120	1
;	#recordin	ShineNPC	MapLinkGate	GblDn01					Gate	CemDn012								
;	#recordin	LinkTable								CemDn012	??? ??? 2?	??? ??? 2?						
;	??? ? 																	
	#recordin	ShineNPC	MapLinkGate	ElfDn01	2481	6894	90	0	Gate	ElfDn011								
	#recordin	LinkTable								ElfDn011	Urg	Urg	7867	11103	-56	1	120	1
;	#recordin	ShineNPC	MapLinkGate	ElfDn01					Gate	ElfDn013								
;	#recordin	LinkTable								ElfDn013	??? ??? 2?	??? ??? 2?				1	120	1
;	???? ??																	
	#recordin	ShineNPC	MapLinkGate	ValDn01	1038	11590	-17	0	Gate	ValDn011								
	#recordin	LinkTable								ValDn011	RouVal02	RouVal02	8104	9195	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	ValDn01					Gate	ValDn012								
;	#recordin	LinkTable								ValDn012	??? ??? 2?	??? ??? 2?				1	120	1
;	??? ??																	
	#recordin	ShineNPC	MapLinkGate	PriDn01	12384	4508	-90	0	Gate	PriDn001								
	#recordin	LinkTable								PriDn001	EldPri02	EldPri02	6419	5330	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	PriDn01					Gate	PriDn002								
;	#recordin	LinkTable								PriDn002	??? ??? 2?	??? ??? 2?				1	120	1
;	???? ??																	
	#recordin	ShineNPC	MapLinkGate	ForDn01	5960	6127	-90	0	Gate	ForDn001								
	#recordin	LinkTable								ForDn001	EldFor01	EldFor01	10614	14298	-178	1	120	1
;	#recordin	ShineNPC	MapLinkGate	PriDn01					Gate	ForDn002								
;	#recordin	LinkTable								ForDn002	??? ??? 2?	??? ??? 2?				1	120	1
;	???? ??																	
;	#recordin	ShineNPC	MapLinkGate	FireDn01	6358	6854	0	0	Gate	FireDn001								
;	#recordin	LinkTable								FireDn001	UrgFire01	UrgFire01	16786	22709	0	1	120	1
;	90???																	
;	#recordin	ShineNPC	MapLinkGate	SwaDn01	6030	11347	0	0	Gate	SwaDn001								
;	#recordin	LinkTable								SwaDn001	UrgFire01	UrgFire01	23716	8574	158	1	120	1
;	??? ??(100???)																	
	#recordin	ShineNPC	MapLinkGate	AlDn01	11440	1832	131	0	Gate	AlDn001								
	#recordin	LinkTable								AlDn001	Urg_Alruin	Urg_Alruin	17327	16247	169	1	120	1
;	??? ?																	
	#recordin	ShineNPC	EldSpeGuard03	ElfDn02	5230	3846	0	0	Gate	ElfDn021								
	#recordin	LinkTable								ElfDn021	BFGate02	BFGate02	1683	1996	0	1	120	1
;	??? ??																	
	#recordin	ShineNPC	EldSpeGuard03	PriDn02	5243	5059	90	0	Gate	PriDn021								
	#recordin	LinkTable								PriDn021	BFGate02	BFGate02	1576	1617	0	1	120	1
;	??? ???																	
	#recordin	ShineNPC	EldSpeGuard03	GblDn02	5083	6038	-179	0	Gate	EldGbl001								
